节点U,节点V,长度(m)
49863,49897,11.15
48558,48574,33.34
48570,48578,23.87
49902,49921,67.45
3166,3239,81.94
14281,14294,59.93
2594,2595,63.11
47938,18389,94.09
48558,48578,44.57
50051,50067,50.96
49330,28062,286.9
2759,2765,72.18
50512,50529,126.73
15427,15499,96.69
3098,3177,149.49
19082,47938,136.04
50028,32935,110.47
3114,3110,219.51
50007,49902,265.92
28883,29175,301.86
14847,14516,170.24
17406,17474,137.08
25022,25087,165.83
20507,20937,302.22
50016,50032,70.54
50063,50002,140.24
33040,32937,150.52
35130,35080,198.84
34572,34686,265.54
49868,49885,160.28
21063,20507,344.1
14421,14812,203.7
49860,49894,11.15
48022,19158,42.25
47954,19141,53.04
49998,50016,106.46
14847,14421,224.93
47983,47938,313.99
15490,15428,270.02
20542,20137,489.35
15428,15499,285.24
15478,15944,316.19
20558,20137,505.98
19082,18718,270.47
50063,32936,199.23
29117,28798,471.12
50529,50483,362.2
30513,30917,413.0
50002,32935,190.51
49904,50002,235.97
29235,29521,414.79
35072,35130,289.4
19738,20137,510.84
18326,47983,378.48
32936,50028,259.35
49331,49337,417.48
49331,28062,667.97
24765,24776,205.28
28713,29079,215.41
49828,49914,217.3
20132,20383,542.43
35074,35126,310.57
15490,15794,222.5
15478,15782,222.0
49914,50028,293.12
49904,50016,294.17
35234,35080,351.57
49871,49837,244.6
37673,37943,441.46
29175,28798,521.96
47943,48027,512.45
49333,49463,990.7
32936,50002,339.33
49828,50002,355.72
20859,20137,685.17
32210,49921,470.84
49914,32935,401.82
39459,39531,212.55
21063,21756,969.53
31852,49998,410.08
24769,24762,48.41
50063,49914,352.22
31721,49828,350.3
49828,50016,414.85
24762,24776,232.73
49904,31886,388.26
26609,49337,1102.63
32232,32769,581.67
24748,24765,46.18
24769,24748,67.08
28373,28869,233.69
15427,47599,580.57
35274,35489,478.01
15427,15794,302.53
18526,18560,323.3
13265,14360,657.64
24748,24776,251.37
24468,24900,191.78
24569,24762,256.4
21956,22144,228.36
28798,28818,649.83
24765,24569,283.5
18549,18588,270.68
28817,28883,738.52
18917,18942,401.27
15490,47599,621.37
24769,24569,303.96
15499,47599,632.65
28283,29247,588.26
31857,50016,507.15
34449,34543,275.14
29071,29404,470.89
50002,50082,185.14
49998,50082,231.23
24569,24776,486.01
19736,20507,894.6
22548,22615,515.16
14516,13624,739.06
18971,19312,354.76
20794,21756,1283.57
22167,22639,310.04
22606,22614,361.38
22686,22615,364.8
21954,22636,438.75
19020,18447,394.14
11428,11760,452.91
20137,20923,741.66
22548,22614,534.26
