节点U,节点V,长度(m)
15611,15614,11.75
34023,34016,12.92
23624,23621,16.35
16041,16038,21.57
16959,16961,21.95
16027,16037,36.25
21698,21686,46.04
24919,24917,118.28
16961,16934,31.67
24917,24910,76.11
33790,11320,78.09
13765,13804,97.51
16711,34333,88.94
16027,16038,142.91
21698,21610,156.4
11400,11319,96.0
24911,24910,17.94
10248,10285,13.73
21654,21655,25.54
34366,16936,93.16
34373,16933,95.31
15547,15471,145.9
15483,15548,150.41
16959,16933,107.84
16936,16933,21.45
24911,24906,39.34
15547,15483,68.84
16961,16933,107.88
16707,16711,133.84
16934,16960,156.76
34349,16819,162.12
16934,34366,173.11
16855,16819,62.3
16936,16934,85.28
16936,16959,109.93
22109,22095,125.44
16936,16961,114.14
16723,16707,156.17
22599,22654,121.6
21698,21730,158.69
25266,25275,233.31
18117,17104,213.46
24919,24941,179.28
16596,16585,186.64
24911,24919,185.25
24910,24921,189.54
34333,16707,208.55
16820,34349,203.92
11238,10990,34.82
16855,16820,166.72
24921,24911,194.02
11348,11237,92.98
11474,11405,131.29
16755,34333,100.29
21698,21725,192.76
21654,21730,200.28
16723,16755,110.07
16711,16755,123.01
22123,22081,164.4
16755,16820,215.02
34366,34349,229.08
21610,21553,269.65
16391,16289,264.94
16723,16820,278.82
34346,34349,21.48
34373,16934,176.74
16587,16579,116.94
34373,16858,196.57
16961,34366,197.44
16959,34366,198.44
34373,34346,221.95
16933,16858,223.72
34346,16855,169.35
34346,16819,182.24
34346,16820,217.55
33790,11400,147.14
11347,11474,143.76
34373,16961,203.18
11347,11405,155.26
16586,17005,252.77
21686,21655,76.86
21730,21725,91.07
21686,21703,109.41
20408,20068,282.51
15547,15611,285.27
21654,21725,230.39
15547,15614,290.03
16585,17005,288.66
21654,21703,149.58
21655,21703,163.37
21655,21730,205.39
34104,13765,321.95
16855,34373,294.09
11347,11368,177.95
17136,17020,314.62
16711,16820,304.36
18469,18410,286.69
19983,20263,322.24
18443,18212,291.82
17020,18117,351.02
33863,33790,249.06
24941,24911,340.42
24941,24910,341.36
15483,15611,342.97
33860,33813,69.24
18443,18469,156.03
11320,11146,116.36
15483,15614,346.38
16290,16345,306.04
21654,21484,324.19
22295,22233,255.21
15471,15611,391.87
10989,11238,38.66
21655,21610,130.6
33813,33887,117.95
21686,21725,186.32
21686,21610,199.04
21610,21703,243.37
21553,21654,354.26
21610,21730,309.27
