节点U,节点V,长度(m)
7928,7886,14.96
8337,8471,15.08
5867,5866,15.0
6955,6950,17.9
6940,6965,18.27
11744,11735,17.22
11744,11722,20.73
7263,7268,54.38
10806,10823,23.73
10822,10807,27.79
9306,9297,28.25
5478,5529,34.32
6950,6921,58.79
7576,7612,36.35
7818,7829,97.61
7818,7805,103.26
5613,5625,4.49
6921,6926,15.12
7593,7576,16.13
6950,6928,83.85
7213,7250,106.14
6955,7024,73.98
8650,8676,131.26
6950,7024,83.86
6940,6926,61.22
6955,6921,67.7
6965,6921,69.51
6965,6926,70.78
6955,6928,70.82
6955,6926,71.92
6965,6928,84.56
6940,7024,84.97
12754,12743,41.31
8657,8648,62.87
6950,7007,90.07
6926,6928,101.41
6955,7007,103.42
6940,7007,104.65
7073,7127,151.83
3822,3762,174.55
6370,6389,69.63
6386,6377,71.49
6626,6647,95.5
5612,5537,199.03
6674,6640,249.96
6680,6773,165.94
3327,3161,216.58
8337,8467,278.28
5612,5625,16.4
5625,5402,226.0
8648,8676,170.87
5519,5612,245.73
5519,5625,261.98
7263,7343,439.06
3227,3405,230.56
3223,3405,231.56
5613,5612,11.92
5612,6574,68.2
7271,7258,66.2
6680,6631,203.09
6995,6943,204.23
5613,5537,210.77
6574,5537,213.58
5613,5402,225.88
6995,6946,83.79
7979,7989,209.72
8396,8337,212.22
7825,7715,476.63
7213,7127,348.81
6626,6713,223.77
7805,7715,508.14
6647,6680,235.45
6931,6928,11.16
7009,7024,14.81
7250,7214,26.98
8395,8337,65.52
6940,6931,70.82
6965,6931,84.64
6950,6931,85.39
6950,7009,85.76
8482,8395,16.52
7009,6965,74.84
7009,6940,84.31
8471,8395,76.47
7009,7007,127.85
8482,8396,149.34
3409,3225,252.89
3409,3223,254.64
6898,6916,78.08
7024,6931,111.77
3409,3227,257.61
3864,3753,270.4
3409,3617,275.0
3308,3338,287.34
6931,7007,174.15
6626,6617,200.92
6898,6917,7.94
3405,3415,105.14
3624,3405,330.57
7073,7250,393.38
3753,3617,333.34
7829,7715,532.08
8471,8396,220.89
6631,6617,234.57
3624,3753,239.72
7214,7127,242.62
8395,8467,225.99
2513,2606,179.33
8482,8467,239.95
7258,7343,443.76
2470,2519,187.12
3624,3822,353.38
3635,3617,175.76
3308,3453,359.31
6647,6713,250.57
3161,3338,370.03
7263,7239,222.74
8410,8420,367.61
7915,7928,484.83
5218,5067,504.88
