节点U,节点V,长度(m)
17777,17952,87.47
3831,3834,133.53
7829,28493,260.73
3788,3832,239.13
28355,7615,181.57
25229,25247,257.27
25262,25248,260.13
25253,25247,261.62
6702,6796,266.8
2734,2737,240.91
10559,10670,433.76
2537,2543,244.0
10611,10668,489.98
25248,25203,278.59
2548,2539,269.45
10537,10611,527.42
7567,7599,33.22
10670,10537,623.95
25248,25253,380.89
4871,4878,618.75
10559,10668,827.2
3788,3834,298.33
17338,17001,384.6
5582,4872,687.24
28482,8323,285.24
28396,7585,323.83
28485,8334,285.97
28359,7587,376.67
7834,8184,441.96
7884,28493,384.04
13819,13104,565.75
5582,4878,700.63
28490,7844,460.59
16169,16430,282.73
7844,28493,472.97
28490,28508,489.82
7829,8334,533.85
17130,17450,311.8
2402,2422,364.18
7000,6796,597.15
6040,6053,568.26
6716,6904,675.47
6792,6701,699.75
6701,6796,715.57
7585,7884,809.13
28564,10789,838.34
13104,14650,761.72
3232,3217,615.12
6715,6796,469.73
7884,28508,861.18
7000,6716,945.43
7587,7844,993.17
9719,10559,1416.82
28396,7844,1044.02
7844,28508,950.11
7884,28396,1132.96
8195,8299,180.11
25203,25247,398.97
7585,28359,649.66
25249,25229,461.97
6640,6934,795.12
25262,25203,491.08
25229,25253,517.34
6615,6716,900.67
8737,8814,48.69
7039,7000,109.13
6984,7034,109.47
6652,6598,429.85
10929,11245,178.99
8320,8294,202.74
6577,6640,594.6
8783,8400,288.02
8320,8299,214.16
6652,6796,975.65
6904,7039,371.29
17196,16430,397.3
5900,5813,733.38
16869,16169,480.09
6611,6951,980.27
18033,18555,441.69
2222,2211,334.51
7039,6716,1032.63
5803,6127,621.38
6132,5813,589.5
5813,6143,602.4
5579,5813,869.62
2388,2406,616.33
2211,2236,568.99
2539,2561,248.92
5803,6143,648.98
8736,9112,285.14
8737,9189,290.16
8320,8783,340.59
6132,5803,636.07
2537,2561,476.37
8294,8736,394.13
8400,8814,316.53
7000,7230,401.99
6984,7230,433.05
8294,8814,433.46
9112,8400,468.16
2130,2140,523.29
6611,6709,886.9
5922,6132,953.39
7034,6904,337.57
10537,10668,1017.4
2407,2418,798.37
2422,2407,803.05
17002,17450,886.1
17338,17002,896.45
8611,10668,1238.28
5622,5724,1296.96
7034,6716,997.42
5900,6132,974.98
13819,13142,1188.02
28396,6904,1683.56
6904,7587,1734.27
5024,5067,1171.34
6796,7039,687.34
6127,6607,1504.51
10856,11221,162.42
9853,9547,187.13
8783,9360,408.16
17001,17130,490.79
8736,9360,430.31
17915,18585,491.38
18033,18585,509.05
16973,16170,565.14
6615,6796,1249.75
7587,7884,1082.12
3217,3243,635.41
8038,7585,1139.35
6611,6127,1575.85
5465,5803,2071.81
6716,6598,1056.41
5813,5465,2112.27
2414,2422,32.23
2406,2430,420.37
3884,3788,511.53
6615,6053,1308.3
3844,3890,543.59
6598,6796,1405.49
3832,3890,720.46
3860,3884,780.04
8853,28535,266.1
28359,7631,387.46
28355,7631,403.94
7616,28355,410.53
2430,2407,860.49
6709,6577,1223.9
2388,2430,1036.71
13818,10537,1434.51
7631,7819,304.7
7811,7631,308.48
28533,9266,388.83
7383,7707,494.25
7837,8424,531.33
28359,7707,546.85
28355,7707,563.34
6792,7334,1013.08
7819,7837,39.81
7707,7837,175.9
7811,28479,226.5
7631,7837,335.26
8424,7811,558.14
8853,9266,582.31
16973,16169,615.85
28737,17002,1259.87
5579,6132,1431.94
28359,6716,2032.3
13104,9719,1765.43
6796,7587,2059.89
28479,28535,811.97
4430,4500,1401.08
3908,3954,850.56
6702,7334,1264.04
6127,6456,514.59
28579,28533,951.26
28533,7837,988.9
28535,7837,1011.26
8853,28579,1132.63
28359,7884,1458.79
6053,6951,2256.57
28479,9266,1167.19
5813,6456,1089.38
5803,6456,1135.96
7585,28493,1193.15
10670,9719,1842.21
7819,28535,1043.27
6132,5465,2645.45
13818,9719,2057.86
7707,28535,1187.1
28355,7819,708.59
28579,12266,1160.96
7631,28535,1346.52
7837,9266,1364.76
7819,9266,1398.46
7585,28508,1670.23
7707,9266,1540.46
28535,28589,1497.59
