节点U,节点V,长度(m)
18299,18374,247.72
19351,19375,270.48
7752,7892,120.74
4392,4377,317.94
7765,7892,200.39
7602,7892,213.18
11432,11985,212.46
18499,18374,1209.34
19351,19384,677.05
7765,8418,308.96
7752,8418,310.19
7537,9020,740.11
19351,19369,812.67
11818,11985,359.06
7554,9121,776.79
7554,9020,777.63
11432,12190,377.85
7602,8418,385.69
11818,12190,383.02
7537,9121,818.51
7537,9274,829.78
7554,9274,855.28
7540,9020,981.39
7540,9121,1016.99
7540,9274,1069.1
4406,4192,1483.52
4151,4377,1544.84
4406,4159,1885.38
4148,4192,1896.18
4795,4377,1979.85
4148,4159,2346.41
25044,26025,2494.14
25044,25763,2575.13
3945,3986,1350.65
15896,15913,1898.7
15896,15931,1985.74
24922,25763,3420.81
24922,26025,3704.15
4392,4236,3794.61
4151,4236,3856.08
14060,15913,2592.61
4133,3986,1966.04
14060,15931,2618.03
32419,32498,1916.01
24540,25763,4076.84
24540,26025,4252.54
4795,4236,4607.12
32658,32498,2239.8
3945,3973,2580.31
32997,33116,3202.15
32987,33196,3227.25
32984,33116,3314.07
4014,3986,2834.38
4017,3986,2835.9
32419,32431,2660.89
32997,33196,3490.06
32984,33196,3604.28
32987,33116,3663.73
25044,24838,5412.67
4133,3973,3171.39
25044,27247,5501.58
32658,32431,3102.2
4255,4377,3464.36
4255,4389,3766.24
4014,3973,4241.58
4017,3973,4244.24
24540,24838,7250.83
2895,4159,9455.42
2895,4192,9646.63
24573,24838,8177.94
24540,27247,8549.09
4178,4377,5382.44
4178,4389,5683.19
24573,27247,11236.36
19744,19765,14.62
36597,13934,36.35
36607,13933,38.59
19273,19260,38.03
18890,18912,43.52
16865,16879,58.99
19256,19225,88.51
19352,19375,68.58
19221,19247,107.11
15416,15423,79.69
13988,13934,79.41
31794,31802,94.75
16875,16917,102.23
36581,36595,99.56
13934,14031,111.89
18377,18299,246.5
16847,16889,115.37
16865,16917,124.62
19299,19289,202.11
13734,36600,142.2
19400,19444,168.4
13724,36592,162.62
16797,16812,162.17
19204,19262,166.41
15586,15660,195.19
19140,19236,307.39
19133,19230,313.44
36604,36620,255.15
18209,18369,549.46
16798,16875,270.35
14387,13934,280.2
19640,19757,297.06
15304,15408,293.91
17515,17577,335.29
12361,12613,340.95
19422,19299,502.91
17624,17328,746.48
15221,15417,355.58
15305,15511,361.29
19004,19399,377.83
19262,19285,337.03
16598,16628,422.45
19292,19415,560.67
19247,19297,601.95
13211,13585,384.5
19613,19908,640.43
15417,15589,442.91
15520,15589,445.98
19225,19289,620.18
16137,16273,491.35
16691,16741,441.67
15687,15821,528.02
30352,30536,520.71
19370,19661,529.39
16753,16847,498.06
18128,18049,684.66
16740,16829,507.3
16174,16385,643.86
13233,13995,497.1
23484,23589,494.6
12974,13585,544.12
23465,23589,544.69
18299,18499,1356.89
16074,16385,811.95
16589,16679,733.05
12724,13233,592.67
18449,18209,1460.16
15511,15687,728.83
17328,17989,1572.74
12396,13006,768.84
16758,17328,1583.57
18668,18675,799.96
13523,13995,694.95
19114,19400,823.81
12871,13724,804.42
13006,13734,795.84
22908,23187,805.5
19399,19443,843.15
18577,18369,1710.91
20368,20248,791.76
13726,13006,830.34
17961,17999,1265.07
17327,17614,1845.13
30106,30384,929.36
12129,12974,748.57
18220,17927,1809.38
16673,16798,925.52
16679,16829,901.77
15226,14387,913.28
22472,22916,786.4
16635,16673,992.14
16889,17299,1011.78
18369,18668,1960.59
19443,19513,996.17
19445,19513,1002.43
18111,17999,1290.48
18209,18241,991.65
17491,17777,1040.04
17350,17690,1031.97
16643,16753,1068.25
18804,19114,1067.17
19120,18804,1069.83
17777,17927,2054.41
18669,18804,2124.85
19354,19370,892.5
17614,18076,1555.85
14201,15221,1025.74
17989,18049,1389.91
16273,16643,1212.06
17999,18055,1403.59
14387,15305,1042.79
17927,18299,2128.99
17375,17327,2248.65
17367,16917,1136.22
17354,16889,1165.04
16607,16741,1045.9
16346,17327,2267.39
19192,19575,1129.62
17690,18220,2296.64
13585,15658,2278.72
17624,18049,1547.37
18499,18816,2437.5
13933,15221,1166.68
16385,16673,1281.37
16323,16429,1409.94
19882,20444,1141.94
