节点U,节点V,长度(m)
12417,12420,11.15
12717,12725,19.6
5830,5853,36.72
9445,9441,43.9
12600,12604,39.48
8452,8464,51.31
9466,9441,52.87
9448,9435,60.03
4072,4058,19.71
13756,4706,22.18
3811,3814,35.16
9671,9626,50.43
3821,3780,46.59
8817,8801,61.09
9448,9479,71.43
9466,9435,75.7
5834,5841,19.02
2938,2941,26.26
7771,7749,33.34
12615,12600,66.93
10004,10035,119.09
12417,12473,108.44
10179,10178,128.89
9572,9589,134.08
12472,12473,10.11
8766,8761,20.18
9253,9240,20.7
9240,9250,113.29
12420,12472,103.55
9329,9366,114.47
9253,9250,125.64
12715,12721,124.78
9636,9631,19.62
10230,10261,43.36
10260,10235,48.67
8074,8115,60.14
10261,10265,72.88
10230,10265,80.33
12725,12715,134.61
9671,9614,193.74
8106,8077,59.36
8781,8743,122.27
12875,12884,171.63
9394,9444,220.02
9445,9372,297.94
12616,12614,252.31
12875,12871,271.14
9448,9372,313.19
12885,12884,26.26
10349,10356,33.88
14387,9452,52.22
9445,9479,77.03
9435,9479,119.04
12870,12885,161.9
12614,12615,193.46
14387,9444,217.09
12604,12614,221.56
12600,12614,250.23
12884,12871,278.76
12885,12871,298.29
12712,12729,332.39
12907,12871,372.61
9401,9443,357.9
9401,14387,368.0
12605,12615,165.28
12605,12604,193.05
12605,12600,221.26
12605,12616,271.4
4706,13763,385.63
3264,3289,448.67
8794,8817,459.81
12604,12616,407.3
12108,12091,561.97
12884,12907,423.1
9585,9589,472.61
12715,12707,504.8
12725,12707,509.52
9572,9704,428.18
12885,12907,448.36
8801,8794,518.35
10192,10195,37.06
12870,12907,527.97
12875,12907,548.37
9572,9585,597.56
9590,9585,674.56
8781,8942,655.55
11850,11762,713.87
9572,9609,687.3
9249,9248,21.58
9589,9555,111.22
9248,9250,127.28
9555,14389,179.84
9589,14389,207.46
9172,9238,199.94
9590,9555,336.33
9555,9585,371.88
9590,14389,393.94
9555,9609,470.18
14389,9585,489.22
9555,9400,531.77
9589,9704,550.18
9589,9400,576.89
14389,9609,592.64
9555,9704,653.74
3811,3780,55.76
12605,12613,418.32
12615,12590,438.49
12600,12616,445.74
4948,4754,435.97
4706,4925,818.16
12615,12613,582.77
12605,12590,592.26
8965,8850,697.44
8957,8811,739.31
10178,10188,858.1
10356,10416,675.96
11758,11683,1243.92
10349,10416,688.62
10179,10188,901.01
9585,9672,967.81
