节点U,节点V,长度(m)
9260,9264,14.12
5634,5641,43.53
26863,26879,50.72
10777,10842,62.77
11835,11613,94.72
9328,9337,129.75
28770,28717,182.52
5553,5695,101.14
17360,17373,17.74
5641,5581,65.22
16779,16859,110.35
16840,16911,108.81
28147,28083,139.69
12106,11613,179.57
21509,21701,159.32
11406,11613,201.51
21694,21537,143.02
22024,21701,216.29
22316,22029,217.63
20442,20584,293.41
24232,24631,222.11
10553,10842,249.05
17776,17918,281.17
10820,11018,217.68
5690,5762,78.81
5635,5762,123.54
5553,5762,173.62
11380,11835,272.48
18270,17783,276.99
11613,12248,248.1
11406,11835,289.01
11511,11639,305.84
5695,5733,125.82
5635,5733,151.23
5885,5727,167.19
5727,5762,168.74
5553,5733,187.31
11624,11511,305.96
17364,16963,255.05
17360,16963,259.27
11792,11380,245.65
5733,5634,180.85
12106,11380,355.12
36303,16252,259.64
19812,19857,370.79
16449,16252,271.27
21537,22029,358.55
22024,21537,358.77
5695,5727,147.79
16698,16675,147.28
5635,5727,168.36
16644,16675,194.46
5634,5727,199.96
5733,5581,207.21
16448,16644,261.72
16848,17364,314.26
24224,24415,138.58
10218,10766,465.18
16643,16751,301.78
16963,17508,366.83
22860,23413,442.02
22855,23413,448.15
26848,26942,256.23
10766,11380,495.62
16716,16767,15.25
16675,16755,242.22
22848,22329,430.37
21701,22329,433.46
16904,17508,404.76
22329,22873,436.54
17934,18456,334.81
23222,23711,371.0
16720,16767,15.24
16751,16761,15.54
21509,22029,375.34
16755,16643,302.62
16675,16761,256.87
22316,21701,433.59
22676,23255,373.53
16367,16643,349.75
14988,15612,204.69
36303,16644,270.26
16251,16644,356.14
10842,10218,521.15
16848,17508,427.65
21498,21965,574.97
1473,1555,586.95
19803,19868,401.6
17684,17783,132.86
16761,16643,317.24
14964,16733,270.27
14988,16733,271.93
36303,16643,403.69
20910,19803,602.05
16755,16734,306.44
16751,16734,307.27
36304,16367,337.9
16367,16675,410.01
16761,16644,449.9
17684,17918,405.08
36303,16675,463.88
16643,16251,489.38
19812,20898,504.78
23957,24415,362.26
33900,33926,375.78
10842,11613,617.42
20197,20503,766.5
21537,20453,686.3
18273,17373,576.72
17373,18270,577.11
23711,24631,577.79
17508,18094,367.64
12248,11380,425.78
16963,17783,545.95
10766,11613,673.39
22029,22855,647.78
10553,11380,688.7
23944,23413,424.29
10842,11835,712.13
16751,16644,434.53
22029,22873,653.99
22873,23957,864.8
22860,23957,864.81
22855,23957,871.01
16698,16761,402.0
12106,10766,849.45
10553,11613,866.46
19432,20658,633.09
25598,25667,272.19
21701,22873,870.01
1276,1283,407.3
36458,20898,649.53
18965,19857,962.54
16847,16904,923.02
9339,9642,1108.07
11380,10218,960.8
22316,21537,576.11
18273,16963,818.11
18270,16963,819.52
23255,24247,716.9
21524,21989,575.3
23222,24247,733.84
19857,19868,722.06
20898,19432,726.06
17364,16911,293.86
17360,16911,297.71
19803,20197,1012.68
16755,16644,435.37
25186,25595,595.37
36649,25598,559.52
19812,20197,1060.95
20425,20600,1003.81
17373,16911,291.96
17508,16911,406.47
14130,14131,323.5
13909,14875,412.82
20658,21553,470.34
23255,24631,916.6
9328,9642,1148.59
23222,24631,933.27
7175,7272,214.07
17783,16911,586.39
22272,23548,872.64
8147,7688,956.21
23413,24415,785.02
19857,20425,1220.04
11613,10218,1138.57
18965,19812,1286.51
22950,23569,449.22
16999,17360,269.63
22272,23569,888.31
23048,23548,1081.75
24247,22676,1087.35
22265,22290,1099.29
20576,22272,979.8
1326,1478,1063.11
16367,16252,313.07
1542,1654,698.11
1484,1598,721.94
1264,1334,1185.17
16251,36334,1262.34
16252,16675,722.82
11792,16847,1276.98
22329,23413,878.46
16644,16252,528.55
16252,16643,662.38
19011,20658,1205.42
15612,14130,1017.51
20600,22950,1409.62
22676,24631,1282.62
25557,26017,1274.26
20576,22950,1422.81
22675,22950,1010.11
22676,22943,1344.14
16251,16675,549.43
20503,20645,1181.8
19812,21553,881.61
9328,9260,1269.11
9262,9339,1309.68
20197,19868,1407.43
