节点U,节点V,长度(m)
3620,3626,61.53
3616,3631,84.79
3245,3295,92.44
22929,22925,79.6
3616,3654,115.44
3664,3626,149.29
3160,3285,117.15
3245,3285,118.09
3245,3344,135.31
3540,3588,153.25
3160,3295,143.72
3497,3575,175.24
3649,3654,167.72
3160,3344,168.26
3620,3635,221.95
3664,3635,226.97
3540,3575,228.76
3649,3631,218.08
22921,22980,193.29
22921,22928,195.58
3497,3588,268.54
22921,22925,249.87
21911,22288,436.18
21861,22280,462.66
21911,22280,575.56
21861,22288,601.88
23337,23606,1970.32
23307,23606,2240.98
23070,23606,2646.29
1905,2164,2009.31
1905,2174,2103.38
2164,2290,2157.75
2164,2374,2303.26
2153,2290,2326.43
2153,2374,2474.09
22665,22894,1478.17
1756,2164,3803.57
1756,2174,3855.52
22921,22894,1588.19
23528,23652,4394.89
22929,22894,1687.32
4053,3946,2297.18
23503,22980,2017.81
23503,22928,2121.84
1813,2174,5544.55
1813,2164,5547.7
22665,22925,2521.22
23644,23652,8101.09
23528,23694,8407.99
1029,829,7498.06
1029,855,7499.75
23644,23694,10361.34
2608,3946,6133.32
241,829,12971.73
241,855,14191.32
6650,6708,51.15
1284,1213,209.84
3954,3952,347.01
1213,1235,266.2
4551,4556,426.37
23267,23281,580.01
1181,1197,343.49
20749,21097,476.26
6736,6662,334.87
9899,9915,547.25
4044,4047,527.68
20751,21097,508.78
23277,23328,820.9
1205,1185,497.22
6449,6873,511.32
23235,23466,1025.17
6662,6768,506.16
23281,23326,1093.75
10052,10060,739.53
10830,9869,939.14
9869,9911,946.3
3706,3774,616.01
3742,3774,973.54
1197,1235,655.15
21175,20923,850.96
1185,1217,722.97
6058,6178,1087.65
1164,1336,757.92
9340,10796,1192.41
6684,6670,860.26
23300,23344,1757.39
6684,6832,933.0
23328,23528,1046.21
23464,23528,1048.32
10047,10025,916.53
9576,11114,1090.9
3676,3706,974.87
3603,3747,986.5
18846,17963,1288.1
6058,6749,1223.34
22854,23344,2323.29
23070,23580,2365.09
6397,6684,1237.83
2465,2812,1993.24
23423,23321,2444.7
23244,23277,2789.93
1347,1413,1556.3
8380,8384,1664.53
22661,23173,1551.44
5094,5197,2337.35
23337,23307,2657.64
19085,19333,1593.14
10135,10163,1702.83
23027,23173,1772.21
23294,23303,1592.34
23269,23244,3323.35
5950,6773,1684.97
10055,10064,1872.34
6439,6705,1770.77
1128,1553,1905.38
8563,10310,1841.37
20830,20751,2765.31
13510,13813,2617.28
23289,23503,2518.29
1130,1574,2043.45
9841,9899,2932.55
9663,9899,2945.86
10310,13627,2031.08
1235,1351,2046.27
23042,23523,1894.15
6694,6746,1945.63
1123,1855,3841.18
6702,6754,1944.19
23321,23344,3545.03
23244,23307,3769.15
23337,23350,3590.9
20619,20663,2136.01
1284,1347,2238.89
16311,18835,2530.86
23243,23568,3949.49
22689,23479,3093.0
1217,1347,2284.16
3679,3953,3499.38
9911,10045,3556.95
17953,17987,2690.67
8384,12413,3373.73
16639,19083,2564.92
23303,23333,2303.16
7305,9841,3711.02
23626,23244,4456.21
2794,3906,3508.95
7204,9663,3808.98
17963,18013,2821.65
13716,9915,4253.15
13604,16606,2308.48
18835,20923,3936.27
17485,18781,2843.66
6896,8563,2958.61
8378,8573,3504.54
6913,8577,2957.72
20619,22689,2564.09
23528,23642,2947.98
6427,6705,2836.32
22891,22909,2881.88
10104,13604,3168.2
9915,10064,5108.8
8380,12549,3472.01
23417,23503,5586.43
10069,10135,3493.49
10045,10060,2899.66
23164,23479,4363.02
8382,10077,3993.17
21097,23559,5219.44
3797,3774,3135.09
23466,23640,3267.56
23267,23300,5796.93
3747,4043,4613.79
2851,2812,4663.92
7282,10024,3739.24
22931,23547,5599.15
20923,23321,4344.0
20620,22665,3172.91
23479,23547,5797.51
9869,7305,5131.94
23520,23640,3478.95
20859,23042,3328.31
5052,7305,5452.18
23637,23547,5715.45
13279,14159,3309.17
8577,13604,3829.57
1360,2794,8994.36
8378,12408,3374.11
10025,10055,5886.73
22827,23027,4062.63
20464,20656,3716.2
4301,4785,3590.16
10024,10052,5901.02
10077,10159,4334.12
10045,17987,5802.33
23523,23636,6928.99
7149,13184,6610.34
17963,20749,4835.44
2869,3906,6081.6
4315,4785,3897.57
6280,10796,6837.97
